segment	duration_days_floor	trace_count	percentage	cumulative_percentage
First-level only	0	2060	45.3145622525297	45.3145622525297
First-level only	1	172	3.7835459744830624	49.09810822701276
First-level only	2	44	0.9678838539375276	50.06599208095029
First-level only	3	59	1.2978442586889574	51.36383633963924
First-level only	4	63	1.3858336999560052	52.749670039595244
First-level only	5	61	1.3418389793224814	54.091509018917726
First-level only	6	46	1.0118785745710515	55.103387593488776
First-level only	7	890	19.577650681918172	74.68103827540695
First-level only	8	194	4.267487901451826	78.94852617685878
First-level only	9	85	1.869775626924769	80.81830180378354
First-level only	10	74	1.627804663440387	82.44610646722393
First-level only	11	61	1.3418389793224814	83.7879454465464
First-level only	12	106	2.331720193576771	86.11966564012317
First-level only	13	79	1.7377914650241972	87.85745710514738
First-level only	14	70	1.5398152221733392	89.39727232732072
First-level only	15	56	1.2318521777386713	90.6291245050594
First-level only	16	40	0.8798944126704795	91.50901891772988
First-level only	17	34	0.7479102507699076	92.25692916849978
First-level only	18	47	1.0338759348878135	93.2908051033876
First-level only	19	22	0.4839419269687638	93.77474703035637
First-level only	20	23	0.5059392872855257	94.2806863176419
First-level only	21	27	0.5939287285525737	94.87461504619446
First-level only	22	22	0.4839419269687638	95.35855697316323
First-level only	23	9	0.19797624285085788	95.55653321601409
First-level only	24	15	0.32996040475142985	95.88649362076552
First-level only	25	15	0.32996040475142985	96.21645402551695
First-level only	26	12	0.2639683238011439	96.48042234931809
First-level only	27	15	0.32996040475142985	96.81038275406952
First-level only	28	17	0.3739551253849538	97.18433787945447
First-level only	29	8	0.1759788825340959	97.36031676198857
First-level only	30	2	0.04399472063352398	97.40431148262209
First-level only	31	5	0.10998680158380994	97.5142982842059
First-level only	32	8	0.1759788825340959	97.69027716674
First-level only	33	4	0.08798944126704795	97.77826660800704
First-level only	34	4	0.08798944126704795	97.86625604927409
First-level only	35	8	0.1759788825340959	98.04223493180818
First-level only	36	2	0.04399472063352398	98.0862296524417
First-level only	37	5	0.10998680158380994	98.19621645402552
First-level only	38	2	0.04399472063352398	98.24021117465904
First-level only	39	1	0.02199736031676199	98.2622085349758
First-level only	40	4	0.08798944126704795	98.35019797624284
First-level only	41	1	0.02199736031676199	98.3721953365596
First-level only	42	8	0.1759788825340959	98.5481742190937
First-level only	43	2	0.04399472063352398	98.59216893972722
First-level only	44	1	0.02199736031676199	98.61416630004398
First-level only	45	2	0.04399472063352398	98.6581610206775
First-level only	46	2	0.04399472063352398	98.70215574131102
First-level only	47	2	0.04399472063352398	98.74615046194454
First-level only	48	4	0.08798944126704795	98.83413990321158
First-level only	50	1	0.02199736031676199	98.85613726352834
First-level only	51	1	0.02199736031676199	98.8781346238451
First-level only	54	2	0.04399472063352398	98.92212934447862
First-level only	55	4	0.08798944126704795	99.01011878574566
First-level only	56	2	0.04399472063352398	99.05411350637918
First-level only	57	3	0.06599208095028597	99.12010558732946
First-level only	60	2	0.04399472063352398	99.16410030796298
First-level only	61	2	0.04399472063352398	99.2080950285965
First-level only	63	1	0.02199736031676199	99.23009238891326
First-level only	64	2	0.04399472063352398	99.27408710954678
First-level only	65	1	0.02199736031676199	99.29608446986354
First-level only	67	1	0.02199736031676199	99.3180818301803
First-level only	68	1	0.02199736031676199	99.34007919049706
First-level only	69	1	0.02199736031676199	99.36207655081382
First-level only	70	2	0.04399472063352398	99.40607127144735
First-level only	71	1	0.02199736031676199	99.4280686317641
First-level only	73	1	0.02199736031676199	99.45006599208087
First-level only	74	5	0.10998680158380994	99.56005279366468
First-level only	78	1	0.02199736031676199	99.58205015398144
First-level only	80	1	0.02199736031676199	99.6040475142982
First-level only	81	1	0.02199736031676199	99.62604487461496
First-level only	83	1	0.02199736031676199	99.64804223493172
First-level only	97	1	0.02199736031676199	99.67003959524848
First-level only	98	2	0.04399472063352398	99.714034315882
First-level only	99	1	0.02199736031676199	99.73603167619876
First-level only	111	1	0.02199736031676199	99.75802903651552
First-level only	112	1	0.02199736031676199	99.78002639683228
First-level only	116	1	0.02199736031676199	99.80202375714904
First-level only	117	1	0.02199736031676199	99.8240211174658
First-level only	120	1	0.02199736031676199	99.84601847778256
First-level only	126	1	0.02199736031676199	99.86801583809932
First-level only	130	1	0.02199736031676199	99.89001319841609
First-level only	153	1	0.02199736031676199	99.91201055873285
First-level only	154	1	0.02199736031676199	99.9340079190496
First-level only	195	1	0.02199736031676199	99.95600527936637
First-level only	212	1	0.02199736031676199	99.97800263968313
First-level only	401	1	0.02199736031676199	99.99999999999989
Escalated to level 2	0	140	5.681818181818182	5.681818181818182
Escalated to level 2	1	56	2.272727272727273	7.954545454545455
Escalated to level 2	2	40	1.6233766233766231	9.577922077922079
Escalated to level 2	3	32	1.2987012987012987	10.876623376623378
Escalated to level 2	4	42	1.7045454545454544	12.581168831168833
Escalated to level 2	5	48	1.948051948051948	14.52922077922078
Escalated to level 2	6	36	1.461038961038961	15.990259740259742
Escalated to level 2	7	626	25.405844155844154	41.396103896103895
Escalated to level 2	8	227	9.212662337662337	50.60876623376623
Escalated to level 2	9	75	3.043831168831169	53.6525974025974
Escalated to level 2	10	111	4.504870129870129	58.15746753246753
Escalated to level 2	11	74	3.0032467532467533	61.160714285714285
Escalated to level 2	12	86	3.49025974025974	64.65097402597402
Escalated to level 2	13	75	3.043831168831169	67.6948051948052
Escalated to level 2	14	74	3.0032467532467533	70.69805194805195
Escalated to level 2	15	67	2.719155844155844	73.4172077922078
Escalated to level 2	16	45	1.8262987012987013	75.2435064935065
Escalated to level 2	17	47	1.9074675324675323	77.15097402597404
Escalated to level 2	18	41	1.6639610389610389	78.81493506493507
Escalated to level 2	19	35	1.4204545454545454	80.23538961038962
Escalated to level 2	20	28	1.1363636363636365	81.37175324675326
Escalated to level 2	21	36	1.461038961038961	82.83279220779222
Escalated to level 2	22	30	1.2175324675324677	84.05032467532469
Escalated to level 2	23	18	0.7305194805194805	84.78084415584416
Escalated to level 2	24	22	0.8928571428571428	85.6737012987013
Escalated to level 2	25	12	0.487012987012987	86.16071428571429
Escalated to level 2	26	9	0.36525974025974023	86.52597402597404
Escalated to level 2	27	21	0.8522727272727272	87.37824675324677
Escalated to level 2	28	27	1.0957792207792207	88.47402597402599
Escalated to level 2	29	11	0.4464285714285714	88.92045454545456
Escalated to level 2	30	1	0.040584415584415584	88.96103896103898
Escalated to level 2	31	7	0.2840909090909091	89.24512987012989
Escalated to level 2	32	14	0.5681818181818182	89.8133116883117
Escalated to level 2	33	9	0.36525974025974023	90.17857142857144
Escalated to level 2	34	11	0.4464285714285714	90.62500000000001
Escalated to level 2	35	9	0.36525974025974023	90.99025974025976
Escalated to level 2	36	5	0.2029220779220779	91.19318181818184
Escalated to level 2	37	3	0.12175324675324675	91.31493506493509
Escalated to level 2	38	5	0.2029220779220779	91.51785714285717
Escalated to level 2	39	3	0.12175324675324675	91.63961038961041
Escalated to level 2	40	7	0.2840909090909091	91.92370129870132
Escalated to level 2	41	13	0.5275974025974026	92.45129870129873
Escalated to level 2	42	5	0.2029220779220779	92.65422077922081
Escalated to level 2	43	3	0.12175324675324675	92.77597402597405
Escalated to level 2	44	1	0.040584415584415584	92.81655844155847
Escalated to level 2	45	2	0.08116883116883117	92.8977272727273
Escalated to level 2	46	3	0.12175324675324675	93.01948051948054
Escalated to level 2	47	1	0.040584415584415584	93.06006493506496
Escalated to level 2	48	5	0.2029220779220779	93.26298701298704
Escalated to level 2	49	10	0.4058441558441558	93.66883116883119
Escalated to level 2	50	1	0.040584415584415584	93.70941558441561
Escalated to level 2	51	3	0.12175324675324675	93.83116883116885
Escalated to level 2	52	4	0.16233766233766234	93.99350649350652
Escalated to level 2	53	1	0.040584415584415584	94.03409090909093
Escalated to level 2	54	3	0.12175324675324675	94.15584415584418
Escalated to level 2	55	2	0.08116883116883117	94.237012987013
Escalated to level 2	56	3	0.12175324675324675	94.35876623376625
Escalated to level 2	57	5	0.2029220779220779	94.56168831168833
Escalated to level 2	58	2	0.08116883116883117	94.64285714285715
Escalated to level 2	59	2	0.08116883116883117	94.72402597402598
Escalated to level 2	60	1	0.040584415584415584	94.7646103896104
Escalated to level 2	61	2	0.08116883116883117	94.84577922077922
Escalated to level 2	62	1	0.040584415584415584	94.88636363636364
Escalated to level 2	64	1	0.040584415584415584	94.92694805194806
Escalated to level 2	65	2	0.08116883116883117	95.00811688311688
Escalated to level 2	66	1	0.040584415584415584	95.0487012987013
Escalated to level 2	67	5	0.2029220779220779	95.25162337662339
Escalated to level 2	68	3	0.12175324675324675	95.37337662337663
Escalated to level 2	69	1	0.040584415584415584	95.41396103896105
Escalated to level 2	70	2	0.08116883116883117	95.49512987012987
Escalated to level 2	71	1	0.040584415584415584	95.53571428571429
Escalated to level 2	73	1	0.040584415584415584	95.57629870129871
Escalated to level 2	75	3	0.12175324675324675	95.69805194805195
Escalated to level 2	76	2	0.08116883116883117	95.77922077922078
Escalated to level 2	77	1	0.040584415584415584	95.8198051948052
Escalated to level 2	78	3	0.12175324675324675	95.94155844155844
Escalated to level 2	80	1	0.040584415584415584	95.98214285714286
Escalated to level 2	81	1	0.040584415584415584	96.02272727272728
Escalated to level 2	82	2	0.08116883116883117	96.1038961038961
Escalated to level 2	84	2	0.08116883116883117	96.18506493506493
Escalated to level 2	85	1	0.040584415584415584	96.22564935064935
Escalated to level 2	87	1	0.040584415584415584	96.26623376623377
Escalated to level 2	89	1	0.040584415584415584	96.30681818181819
Escalated to level 2	90	1	0.040584415584415584	96.3474025974026
Escalated to level 2	92	2	0.08116883116883117	96.42857142857143
Escalated to level 2	93	1	0.040584415584415584	96.46915584415585
Escalated to level 2	96	1	0.040584415584415584	96.50974025974027
Escalated to level 2	98	1	0.040584415584415584	96.55032467532469
Escalated to level 2	99	1	0.040584415584415584	96.59090909090911
Escalated to level 2	101	1	0.040584415584415584	96.63149350649353
Escalated to level 2	102	1	0.040584415584415584	96.67207792207795
Escalated to level 2	103	1	0.040584415584415584	96.71266233766237
Escalated to level 2	104	1	0.040584415584415584	96.75324675324678
Escalated to level 2	105	1	0.040584415584415584	96.7938311688312
Escalated to level 2	106	2	0.08116883116883117	96.87500000000003
Escalated to level 2	107	2	0.08116883116883117	96.95616883116885
Escalated to level 2	109	2	0.08116883116883117	97.03733766233768
Escalated to level 2	110	1	0.040584415584415584	97.0779220779221
