source_team,target_team,frequency,avg_bounce_duration_days,total_lost_time_days
D8,G179,40,0.788264,31.530567
S49,G172,36,7.828053,281.809919
D5,D4,22,1.307891,28.773611
G97,G40,19,4.240311,80.565914
D7,D4,15,3.386708,50.800625
D2,D4,14,0.118441,1.658171
S42,S43,13,4.260416,55.385405
G40,G97,13,5.505658,71.573553
D4,D5,12,3.285277,39.423322
D5,V49,11,28.368299,312.051285
G172,S49,10,7.529679,75.296794
S43,S42,9,5.755102,51.795914
D5,G297,8,5.693343,45.546748
N36,N51,8,1.020738,8.165903
D4,A5,6,0.975266,5.851597
M27,S49,5,3.626840,18.134201
G96,G97,5,10.106743,50.533715
D4,D7,5,10.002463,50.012315
D4,A10,5,0.946569,4.732847
D6,D4,5,0.175155,0.875775
S49,M23,5,1.440701,7.203507
G97,G96,5,5.816400,29.082002
D7,A14,5,1.076697,5.383484
D4,D2,5,0.230007,1.150035
G96,V26,4,9.503579,38.014317
V26,G96,4,12.674129,50.696516
D8,D4,4,3.356481,13.425926
M8,G370,4,3.537766,14.151065
T12,T9,4,9.850353,39.401412
D4,A9,4,2.671620,10.686481
D5,G40,4,2.021493,8.085972
G40,G195,4,0.290796,1.163183
N38,G40,3,11.101520,33.304560
N38,N49,3,0.155980,0.467940
G96,G40,3,0.015559,0.046678
G40,G96,3,0.004560,0.013681
T9,T12,3,9.514595,28.543785
G97,G92,3,3.993530,11.980590
G96,G92,3,1.998079,5.994236
G179,D8,3,1.936578,5.809734
D2,A14,3,1.463241,4.389722
V49,D5,2,22.983854,45.967708
S49,J5,2,4.484161,8.968322
M10,M27,2,32.068953,64.137905
M27,M10,2,11.414248,22.828495
G96,N42,2,11.013073,22.026146
D8,G92,2,21.142778,42.285556
G40,N38,2,15.494138,30.988275
S49,G373,2,2.378617,4.757234
S36,M8,2,13.996487,27.992975
G297,D5,2,9.573814,19.147627
S31,G97,2,5.022043,10.044086
G96,M8,2,5.626389,11.252778
M8,G96,2,5.596788,11.193576
G92,G97,2,2.972743,5.945486
S49,G97,2,0.034797,0.069595
G97,S49,2,0.056233,0.112465
D4,D6,2,0.116256,0.232512
D7,C8,2,0.580133,1.160266
D8,A14,2,2.193507,4.387014
V26,G97,2,5.414277,10.828553
D5,A14,2,2.362141,4.724282
D3,A14,2,1.298351,2.596701
G300,G299,2,0.002894,0.005787
G299,G300,2,0.001453,0.002905
J5,S49,1,2.104595,2.104595
D1,G179,1,0.322037,0.322037
G179,D1,1,10.858831,10.858831
N42,G96,1,34.888993,34.888993
S49,G96,1,19.803414,19.803414
J5,G97,1,23.003981,23.003981
J5,G96,1,15.153981,15.153981
M8,S36,1,27.054294,27.054294
G96,V20,1,2.927060,2.927060
V20,G96,1,0.000729,0.000729
G97,M8,1,0.941053,0.941053
D4,D8,1,10.069583,10.069583
G370,M8,1,16.029722,16.029722
C9,G96,1,8.991389,8.991389
S37,S39,1,0.006065,0.006065
A14,G179,1,6.976933,6.976933
G97,S6,1,20.237095,20.237095
S31,G96,1,0.075799,0.075799
S24,G96,1,16.819641,16.819641
G97,G195,1,0.175590,0.175590
G96,M17,1,2.005127,2.005127
M17,G96,1,1.999838,1.999838
G96,U4,1,0.993252,0.993252
N32,G96,1,5.005231,5.005231
M8,G97,1,11.261632,11.261632
A14,D7,1,0.233843,0.233843
S36,N3,1,0.013484,0.013484
S36,G77,1,0.026771,0.026771
G77,S36,1,0.088623,0.088623
T12,T7,1,0.063681,0.063681
T7,T12,1,5.936562,5.936562
N42,N50,1,7.754734,7.754734
G92,D8,1,0.238102,0.238102
S11,G179,1,2.758981,2.758981
S42,S46,1,4.847014,4.847014
S46,S42,1,4.845579,4.845579
G373,S49,1,3.754444,3.754444
A14,D5,1,2.635093,2.635093
D10,S63,1,1.007894,1.007894
S64,G40,1,0.111771,0.111771
G40,S64,1,0.150741,0.150741
G97,G179,1,0.822569,0.822569
S47,S43,1,3.110197,3.110197
S43,S47,1,3.122407,3.122407
G96,S48,1,0.064815,0.064815
N51,N36,1,1.208241,1.208241
N37,N51,1,0.017431,0.017431
N51,N37,1,0.001921,0.001921
D4,A4,1,10.204329,10.204329
G92,N36,1,0.045613,0.045613
N32,N46,1,0.809514,0.809514
N49,N39,1,0.032639,0.032639
S37,G365,1,0.002523,0.002523
G365,S37,1,0.000694,0.000694
D1,D4,1,0.017407,0.017407
D7,G179,1,0.020440,0.020440
S42,S40,1,0.023391,0.023391
B8,G97,1,0.122847,0.122847
N36,N37,1,3.077338,3.077338
N37,N36,1,2.995359,2.995359
G92,G96,1,0.000313,0.000313
V48,D8,1,0.042836,0.042836
R5,G179,1,0.036019,0.036019
D4,A6,1,6.053715,6.053715
M23,S49,1,0.017431,0.017431
D2,G179,1,0.940787,0.940787
N36,N9,1,0.036748,0.036748
G92,G77,1,0.034525,0.034525
S11,D3,1,3.847049,3.847049
D3,S11,1,4.000324,4.000324
S37,S41,1,0.026123,0.026123
G40,D5,1,0.045185,0.045185
G300,G322,1,0.002095,0.002095
G322,G300,1,0.000556,0.000556
