source_team,target_team,frequency,avg_bounce_duration_days,total_lost_time_days
D4,G42 3rd,37,5.567332,205.991296
G358 2nd,S9 3rd,19,4.681232,88.943414
D4,D7,9,6.312092,56.808831
D4,D5,8,1.134420,9.075359
G27 2nd,G28 3rd,8,8.615330,68.922639
V30,V13 2nd 3rd,7,17.875685,125.129792
D7,D4,7,0.785928,5.501493
D4,A10,6,1.637890,9.827338
D4,D2,6,0.449059,2.694352
D5,D4,5,0.579437,2.897187
D5,V49,5,31.870449,159.352245
D8,V37 2nd,5,6.423919,32.119595
V37 2nd,D8,5,7.519255,37.596273
V30,V55 3rd,5,4.671984,23.359919
W12 2nd,L64 3rd,5,0.231743,1.158715
D4,A5,4,0.118750,0.475000
V13 2nd 3rd,V30,4,19.985628,79.942512
G21 2nd,G199 3rd,4,17.589314,70.357257
D4,D6,4,4.539010,18.156042
G51 2nd,G55 2nd,4,0.169158,0.676632
D4,A11,4,1.460854,5.843414
G230 2nd,G249 3rd,4,7.149274,28.597095
V49,D5,3,28.048515,84.145544
D4,A9,3,9.154915,27.464745
D8,D4,3,1.227288,3.681863
G107 3rd,G271 2nd,3,8.400872,25.202616
G271 2nd,G107 3rd,3,9.651393,28.954178
V37 2nd,V38 3rd,3,3.427562,10.282685
G230 2nd,G231 2nd,3,2.418283,7.254850
G22 2nd,G97,3,0.735482,2.206447
G40,G194 3rd,3,0.484780,1.454340
G27 2nd,G29 3rd,3,3.896543,11.689630
G97,G331 3rd,3,1.757731,5.273194
G108 2nd,G31 3rd,3,1.455421,4.366262
A14,G336 3rd,3,0.680575,2.041725
W14 3rd,W15 3rd,3,0.061725,0.185174
G97,G27 2nd,2,1.505544,3.011088
M1 2nd,G76,2,2.470943,4.941887
P1,L64 3rd,2,11.785666,23.571331
G21 2nd,G48 2nd,2,0.434994,0.869988
G48 2nd,G21 2nd,2,0.002049,0.004097
G199 3rd,G21 2nd,2,5.980341,11.960683
D4,V50 2nd,2,13.219022,26.438044
G55 2nd,G51 2nd,2,0.119711,0.239421
V38 3rd,V37 2nd,2,3.079317,6.158634
G276 2nd,G96,2,13.641464,27.282928
V30,V4 3rd,2,11.103229,22.206458
G28 3rd,G27 2nd,2,10.522830,21.045660
G57 2nd,N3,2,3.805353,7.610706
W15 2nd,D7,2,2.494699,4.989398
D7,W15 2nd,2,2.999745,5.999491
D2,V3,2,0.571603,1.143206
G97,G22 2nd,2,2.018171,4.036343
G271 2nd,G157 2nd,2,0.495243,0.990486
G157 2nd,G271 2nd,2,0.501215,1.002431
W15 3rd,V32 2nd,2,3.992986,7.985972
G113 2nd,L23 3rd,2,6.072980,12.145961
G57 2nd,G97,2,0.644086,1.288171
G331 3rd,G97,2,2.150087,4.300174
G271 2nd,G273 3rd,2,0.143744,0.287488
D2,G179,2,3.444641,6.889282
G31 3rd,G108 2nd,2,0.845145,1.690289
D4,A4,2,5.162066,10.324132
D3,N14 2nd,2,0.022836,0.045671
G238 2nd,G285 2nd,2,0.044138,0.088275
D5,G22 2nd,2,0.378472,0.756944
G22 2nd,D5,2,0.452980,0.905961
N55 3rd,G77,2,0.531898,1.063796
V30,V5 3rd,1,5.989537,5.989537
M25,G142 2nd,1,170.017616,170.017616
V30,L61 3rd,1,0.016632,0.016632
V30,L62 3rd,1,0.908854,0.908854
L62 3rd,V30,1,83.944745,83.944745
G230 2nd,G97,1,12.746366,12.746366
A8 2nd,D1,1,0.780845,0.780845
A5,G56 3rd,1,4.119560,4.119560
V13 2nd,V16 3rd,1,4.005648,4.005648
G18 3rd,L23 3rd,1,105.103461,105.103461
G27 2nd,G97,1,0.150567,0.150567
D4,M28 2nd,1,0.090394,0.090394
G76,M1 2nd,1,0.000428,0.000428
G207 2nd,G8 2nd,1,11.656551,11.656551
G8 2nd,G207 2nd,1,0.854421,0.854421
D2,V37 2nd,1,0.810475,0.810475
V37 2nd,D2,1,0.934433,0.934433
V32 2nd,V35 2nd,1,4.850637,4.850637
G278 3rd,G271 2nd,1,0.648368,0.648368
G48 2nd,G199 3rd,1,40.252604,40.252604
G89 2nd,G87 2nd,1,5.681134,5.681134
G15 2nd,G269 3rd,1,42.529097,42.529097
L50 3rd,G189 2nd,1,30.342199,30.342199
G119 2nd,L50 3rd,1,0.190208,0.190208
G8 2nd,G7 3rd,1,0.204282,0.204282
G42 3rd,D4,1,1.162743,1.162743
D4,A6,1,12.217928,12.217928
D4,D8,1,4.908669,4.908669
D4,A8 2nd,1,17.124491,17.124491
M22 2nd,M28 2nd,1,4.863414,4.863414
M22 2nd,D5,1,0.081181,0.081181
D5,M22 2nd,1,0.688067,0.688067
M22 2nd,W15 2nd,1,2.763461,2.763461
G146 2nd,G140 2nd,1,6.664988,6.664988
V46 2nd,L63 3rd,1,1.929931,1.929931
G52 3rd,G55 2nd,1,0.087465,0.087465
D4,J14 2nd,1,0.015312,0.015312
V3,G97,1,3.124144,3.124144
G97,L23 3rd,1,4.042060,4.042060
G97,S13 3rd,1,14.941771,14.941771
G97,G40,1,15.009850,15.009850
A10,D4,1,0.096262,0.096262
G120 3rd,G121 2nd,1,19.864398,19.864398
G121 2nd,G120 3rd,1,34.105544,34.105544
G96,G276 2nd,1,0.000926,0.000926
V4 3rd,V30,1,1.114479,1.114479
G73,G304 2nd,1,0.048380,0.048380
G73,S22 2nd,1,0.016690,0.016690
G92,G213 2nd,1,1.880810,1.880810
G92,G75,1,0.186910,0.186910
G74,G55 2nd,1,3.192951,3.192951
R2,L67 3rd,1,7.757257,7.757257
G107 3rd,G40,1,0.019988,0.019988
G107 3rd,G38 2nd,1,3.567350,3.567350
V22 2nd,G130 3rd,1,2.956968,2.956968
V45,V26,1,18.828657,18.828657
G7 3rd,V10 3rd,1,16.685417,16.685417
V10 3rd,G7 3rd,1,21.687998,21.687998
D6,D4,1,0.013067,0.013067
N3,G57 2nd,1,0.192731,0.192731
W15 2nd,W16 3rd,1,0.029803,0.029803
G29 3rd,G217 3rd,1,0.015301,0.015301
L60 2nd,G51 2nd,1,4.218553,4.218553
G51 2nd,L60 2nd,1,3.993241,3.993241
G97,N2 2nd,1,2.674097,2.674097
N2 2nd,G97,1,6.866806,6.866806
N2 2nd,B15 3rd,1,11.602674,11.602674
T2 3rd,G86 2nd,1,0.610023,0.610023
T2 3rd,G261 3rd,1,0.198935,0.198935
T2 3rd,G222 2nd,1,2.287419,2.287419
G7 3rd,G34 3rd,1,0.005961,0.005961
V3,D2,1,0.138437,0.138437
G273 3rd,D2,1,6.034722,6.034722
T14,G55 2nd,1,0.033368,0.033368
D7,A14,1,0.154329,0.154329
A14,D7,1,6.197708,6.197708
G179,G40,1,2.066181,2.066181
G96,G21 2nd,1,0.012650,0.012650
G21 2nd,G96,1,0.007164,0.007164
G21 2nd,G97,1,8.041412,8.041412
G97,G21 2nd,1,7.842512,7.842512
G22 2nd,G21 2nd,1,0.136644,0.136644
G194 3rd,G276 2nd,1,0.130000,0.130000
G276 2nd,G194 3rd,1,0.127708,0.127708
V25,G230 2nd,1,0.147755,0.147755
G230 2nd,V25,1,0.989456,0.989456
V32 2nd,W15 3rd,1,7.733866,7.733866
N24 2nd,G212 3rd,1,0.353553,0.353553
G36 3rd,G113 2nd,1,11.013704,11.013704
T1,G34 3rd,1,0.119861,0.119861
V22 2nd,G108 2nd,1,2.054398,2.054398
V55 3rd,G345 2nd,1,0.050289,0.050289
N38,G21 2nd,1,0.045324,0.045324
N37,G34 3rd,1,0.011308,0.011308
G194 3rd,G195,1,0.093553,0.093553
V17 3rd,G197 2nd,1,0.036285,0.036285
D8,G40,1,0.107431,0.107431
G97,G57 2nd,1,1.805833,1.805833
G179,D2,1,1.014120,1.014120
G271 2nd,G81,1,0.073634,0.073634
G209 2nd,G271 2nd,1,0.085671,0.085671
G271 2nd,G209 2nd,1,0.090324,0.090324
V17 3rd,L38 3rd,1,0.090289,0.090289
V17 3rd,V12 3rd,1,0.013646,0.013646
U5 2nd,G77,1,0.056620,0.056620
G77,U5 2nd,1,0.108056,0.108056
G181 2nd,G119 2nd,1,0.010220,0.010220
G77,G11 2nd,1,0.000822,0.000822
G11 2nd,G77,1,0.002512,0.002512
V11 3rd,G77,1,0.013032,0.013032
G11 2nd,V11 3rd,1,0.008600,0.008600
G57 2nd,L52 3rd,1,0.079294,0.079294
N38,G22 2nd,1,1.522569,1.522569
G22 2nd,N38,1,2.749016,2.749016
V45 2nd,G331 3rd,1,0.968519,0.968519
V11 3rd,V14 3rd,1,1.393796,1.393796
V11 3rd,V10 3rd,1,0.936840,0.936840
G354 3rd,G249 3rd,1,0.310116,0.310116
G51 2nd,L40 3rd,1,0.129977,0.129977
V17 3rd,V11 3rd,1,0.039977,0.039977
G222 2nd,G271 2nd,1,0.172303,0.172303
L58 3rd,L66 3rd,1,0.204815,0.204815
V21 2nd,W5 3rd,1,0.216447,0.216447
G55 2nd,G77,1,0.018426,0.018426
G92,G88 2nd,1,0.794352,0.794352
N14 2nd,D3,1,0.998484,0.998484
N14 2nd,G336 3rd,1,2.718056,2.718056
G108 2nd,G2 3rd,1,0.443808,0.443808
G29 3rd,G27 2nd,1,1.000116,1.000116
G186 2nd,N31 3rd,1,0.033310,0.033310
G285 2nd,G238 2nd,1,0.005313,0.005313
U2 2nd,G231 2nd,1,0.740023,0.740023
U2 2nd,G249 3rd,1,3.043646,3.043646
G140 2nd,W13 3rd,1,4.072650,4.072650
V21 2nd,L58 3rd,1,7.908889,7.908889
G35 2nd,G36 3rd,1,0.190139,0.190139
V55 3rd,T13 2nd,1,0.029583,0.029583
W15 3rd,W14 3rd,1,0.113623,0.113623
G40,D5,1,0.172118,0.172118
D5,G40,1,0.073194,0.073194
D8,V48,1,0.598044,0.598044
G77,N55 3rd,1,1.047245,1.047245
G331 3rd,M23 2nd,1,0.098796,0.098796
G51 2nd,G52 3rd,1,0.002245,0.002245
G51 2nd,G119 2nd,1,0.114676,0.114676
